((0, 53), 44.44444444444444)
((53, 106), 44.44444444444444)
((106, 159), 38.888888888888886)
((159, 212), 38.888888888888886)
((212, 265), 59.25925925925926)
((265, 318), 42.592592592592595)
((318, 371), 38.888888888888886)
((371, 424), 46.2962962962963)
((424, 477), 44.44444444444444)
((1961, 2014), 38.888888888888886)
((2226, 2279), 38.888888888888886)
((2332, 2385), 38.888888888888886)
((2597, 2650), 38.888888888888886)
((2703, 2756), 40.74074074074074)
((2862, 2915), 38.888888888888886)
((4399, 4452), 38.888888888888886)
((4452, 4505), 44.44444444444444)
((4558, 4611), 38.888888888888886)
((4611, 4664), 40.74074074074074)
((5088, 5141), 38.888888888888886)
((5141, 5194), 40.74074074074074)
((5353, 5406), 42.592592592592595)
((5459, 5512), 40.74074074074074)
((5565, 5618), 46.2962962962963)
((5618, 5671), 40.74074074074074)
((5724, 5777), 44.44444444444444)
((5777, 5830), 40.74074074074074)
((5989, 6042), 38.888888888888886)
((6042, 6095), 40.74074074074074)
((6095, 6148), 40.74074074074074)
((6148, 6201), 42.592592592592595)
((6201, 6254), 48.148148148148145)
((6254, 6307), 40.74074074074074)
((6413, 6466), 40.74074074074074)
((6572, 6625), 46.2962962962963)
((6625, 6678), 44.44444444444444)
((7049, 7102), 46.2962962962963)
((7473, 7526), 38.888888888888886)
((7526, 7579), 38.888888888888886)
((7632, 7685), 42.592592592592595)
((8321, 8374), 42.592592592592595)
((8533, 8586), 42.592592592592595)
((8904, 8957), 38.888888888888886)
((9699, 9752), 44.44444444444444)
((9964, 10017), 44.44444444444444)
((10017, 10070), 44.44444444444444)
((10070, 10123), 40.74074074074074)
((10176, 10229), 38.888888888888886)
((10229, 10282), 38.888888888888886)
((10282, 10335), 42.592592592592595)
((10335, 10388), 55.55555555555556)
((10388, 10441), 46.2962962962963)
((11024, 11077), 44.44444444444444)
((11077, 11130), 40.74074074074074)
((11130, 11183), 38.888888888888886)
((11554, 11607), 38.888888888888886)
((11607, 11660), 44.44444444444444)
((11713, 11766), 40.74074074074074)
((11872, 11925), 38.888888888888886)
((12773, 12826), 42.592592592592595)
